0,ipo_date,ipo_price,ipo_amount,industry_pe,ipo_expense,ipo_subbydistr,undrtype,ipo_leadundr,ipo_auditor,ipo_date_pct,ipo_pct_5,ipo_pct_10,ipo_pct_15,ipo_pct_20,pe_ttm,pb_lf,ps_ttm,pcf_of
600317.SH,2002-01-31,5.9,100000000,0,18470000,0,余额包销,海通证券有限公司,辽宁天健会计师事务所有限公司,87.62711864,-1.445347786,0.361336946,3.884372234,6.323396683,0,0,0,0
600318.SH,2000-12-08,5.1,80000000,0,16758000,0,余额包销,平安证券有限责任公司,深圳中天会计师事务所,146.8627451,-3.812549591,-4.209690094,1.826846719,4.130261898,0,0,0,0
600319.SH,2001-03-26,9.2,80000000,0,23931200,0,余额包销,中信证券股份有限公司,山东潍坊和信会计师事务所有限公司,79.13043478,5.764563084,11.52912617,13.77427197,16.5048542,0,0,0,0
600320.SH,2000-12-21,9.8,88000000,0,24400000,95,余额包销,华夏证券有限公司,0,36.83673469,2.982848644,11.85682297,14.09395981,12.22967911,0,0,0,0
600321.SH,2001-05-24,12.28,70000000,0,19050000,0,余额包销,国泰君安证券股份有限公司,四川华信(集团)会计师事务所,110.0162866,-2.830554485,-1.124466896,0.775494397,1.046917439,0,0,0,0
600322.SH,2001-09-10,5,121000000,0,16450000,0,余额包销,广发证券有限责任公司,天津五洲联合合伙会计师事务所,133.6,1.027397275,0.599315047,1.198630095,0.856164396,0,0,0,0
600323.SH,2000-12-25,6.68,65000000,0,15950000,316,余额包销,广东证券股份有限公司,中庆会计师事务所有限责任公司,98.95209581,18.88638115,20.6922493,17.08051109,12.34010506,0,0,0,0
600325.SH,2004-02-25,7.03,60000000,0,15810300,530280,余额包销,兴业证券股份有限公司,华证会计师事务所,98.15078236,-6.101938248,-9.33237648,-7.537688255,-10.26561356,0,0,0,0
600326.SH,2001-01-16,6.88,40000000,0,12679200,0,余额包销,南方证券有限公司,四川君和会计师事务所有限责任公司,176.4534884,-3.732912779,0.946372211,3.101997852,9.779179573,0,0,0,0
600327.SH,2002-06-25,9.4,40000000,0,12404000,685223,余额包销,海通证券股份有限公司,江苏公证会计师事务所有限公司,91.38297872,-6.725958824,-5.391884327,-6.114508152,-6.058921814,0,0,0,0
600328.SH,2000-12-22,7.88,60000000,0,20148800,0,余额包销,长城证券有限责任公司,内蒙古国正会计师事务所,110.5329949,0.602772772,4.038577557,-0.301386386,-2.59192276,0,0,0,0
600329.SH,2001-06-06,10,40000000,0,15900000,0,余额包销,大鹏证券有限责任公司,普华永道中天会计师事务所有限公司,180,-1.571428537,-4.107142925,-3.678571463,-6.357142925,0,0,0,0
600330.SH,2001-01-18,8.99,40000000,0,14800000,0,余额包销,浙江证券有限责任公司,浙江天健会计师事务所,208.1201335,-5.776173115,-6.173285007,-4.332129955,1.227436781,0,0,0,0
600331.SH,2001-12-20,9.18,50000000,0,12198500,0,余额包销,联合证券有限责任公司,深圳同人会计师事务所有限公司,62.8540305,-3.545150518,-9.030099869,-12.30769253,-20.66889572,0,0,0,0
600332.SH,2001-02-06,9.8,78000000,0,26410700,0,余额包销,国通证券有限责任公司,广州羊城会计师事务所有限公司,50,-3.741496563,-6.802721024,-5.510204315,-6.054421902,0,0,0,0
600333.SH,2000-12-11,6,60000000,0,15920000,0,余额包销,国信证券有限责任公司,武汉众环会计师事务所有限责任公司,147.8333333,4.841963768,6.186953545,9.616678238,12.03765965,0,0,0,0
600335.SH,2001-03-05,6,35000000,0,10000000,0,余额包销,大鹏证券有限责任公司,深圳同人会计师事务所,204.5,1.204159856,1.313628912,5.911330223,6.896551609,0,0,0,0
600336.SH,2000-12-29,9.1,90000000,0,34920000,0,余额包销,中信证券股份有限公司,山东汇德会计师事务所,60.43956044,-2.602739811,-7.3287673,-8.767123222,-11.23287678,0,0,0,0
600337.SH,2000-11-27,13.09,40000000,0,14362600,0,余额包销,宏源证券股份有限公司,深圳同人会计师事务所,136.8220015,-4.193548203,-9.161290169,-6.935483932,-5.161290169,0,0,0,0
600338.SH,2000-12-27,8.15,50000000,0,13512500,0,余额包销,光大证券有限责任公司,深圳同人会计师事务所,115.9509202,10,7.386363506,4.829545498,2.556818247,0,0,0,0
